Country,Not Prepared,Prepared,Somewhat Prepared
Afghanistan,8,17,26
Albania,0,11,5
Algeria,1,22,8
American Samoa,0,3,1
Angola,4,10,16
Anguilla,0,1,0
Antigua and Barbuda,0,2,1
Argentina,0,21,16
Armenia,0,5,1
Australia,0,44,8
Austria,0,9,4
Azerbaijan,0,3,3
Bahamas,0,11,1
Bangladesh,31,15,24
Barbados,0,8,0
Belarus,0,1,1
Belgium,3,11,5
Belize,0,7,4
Benin,1,4,6
Bermuda,0,1,0
Bhutan,0,6,1
Bolivia (Plurinational State of),4,10,20
Bosnia and Herzegovina,1,12,4
Botswana,0,8,3
Brazil,12,22,19
British Virgin Islands,0,1,0
Bulgaria,2,19,1
Burkina Faso,4,5,10
Burundi,1,20,10
Cabo Verde,0,2,4
Cambodia,10,9,6
Cameroon,1,7,9
Canada,0,30,4
Canary Islands,0,4,0
Cayman Islands,0,4,0
Central African Republic,1,7,7
Chad,7,2,7
Chile,3,15,12
China,76,24,48
"China, Hong Kong Special Administrative Region",0,9,0
"China, Macao Special Administrative Region",0,1,0
Colombia,6,20,19
Comoros,0,3,2
Congo,0,1,10
Cook Islands,0,3,0
Costa Rica,0,14,11
Croatia,0,16,4
Cuba,6,17,7
Cyprus,0,4,2
Czechia,1,10,4
Côte d’Ivoire,0,10,1
Democratic People's Republic of Korea,11,8,11
Democratic Republic of the Congo,2,13,13
Denmark,0,0,2
Djibouti,0,0,10
Dominica,0,3,2
Dominican Republic,2,26,11
Ecuador,0,19,11
Egypt,0,7,2
El Salvador,2,21,6
Eritrea,1,2,0
Estonia,0,0,2
Eswatini,2,4,3
Ethiopia,12,4,17
Fiji,1,13,8
Finland,0,1,2
France,7,38,1
French Guiana,0,1,0
French Polynesia,0,2,0
Gabon,0,1,1
Gambia,0,8,3
Georgia,1,14,4
Germany,3,20,2
Ghana,1,6,11
Greece,2,27,3
Grenada,0,2,1
Guadeloupe,0,3,1
Guam,0,1,2
Guatemala,10,20,13
Guinea,0,5,9
Guinea-Bissau,0,3,3
Guyana,0,3,5
Haiti,7,22,22
Honduras,3,20,17
Hungary,0,11,5
Iceland,0,3,0
India,59,25,34
Indonesia,17,30,39
Iran (Islamic Republic of),4,20,23
Iraq,1,12,4
Ireland,0,5,1
Israel,0,6,0
Italy,4,40,6
Jamaica,0,7,6
Japan,10,41,27
Jordan,0,3,1
Kazakhstan,0,10,6
Kenya,11,10,16
Kiribati,0,3,0
Kuwait,0,1,0
Kyrgyzstan,1,7,2
Lao People's Democratic Republic,5,5,12
Latvia,0,1,2
Lebanon,0,3,0
Lesotho,6,2,1
Liberia,0,5,0
Libya,0,2,0
Liechtenstein,0,1,0
Lithuania,0,4,2
Luxembourg,0,4,1
Madagascar,10,8,20
Malawi,11,14,12
Malaysia,1,20,13
Maldives,0,3,1
Mali,5,13,8
Malta,0,0,2
Marshall Islands,0,6,0
Martinique,0,4,0
Mauritania,5,7,8
Mauritius,0,5,1
Mexico,10,35,23
Micronesia (Federated States of),0,5,3
Mongolia,1,9,2
Montenegro,0,5,0
Morocco,1,16,3
Mozambique,17,9,23
Myanmar,4,6,21
Namibia,4,11,5
Nepal,4,6,21
Netherlands (Kingdom of the),0,2,7
New Caledonia,0,2,0
New Zealand,0,23,2
Nicaragua,2,15,15
Niger,10,3,18
Nigeria,5,13,17
Niue,0,1,0
North Macedonia,0,9,3
Northern Mariana Islands,0,4,0
Norway,0,5,0
Oman,0,9,1
Pakistan,16,26,32
Palau,0,4,0
Panama,0,23,5
Papua New Guinea,2,16,8
Paraguay,1,8,13
Peru,6,26,11
Philippines,40,21,23
Poland,0,12,3
Portugal,3,13,1
Puerto Rico,1,15,0
Qatar,0,1,0
Republic of Korea,0,27,9
Republic of Moldova,0,6,1
Romania,2,30,4
Russian Federation,2,27,15
Rwanda,1,14,6
Réunion,0,6,1
Saint Barthélemy,0,1,0
Saint Kitts and Nevis,0,2,0
Saint Lucia,0,8,2
Saint Martin (French Part),0,1,0
Saint Vincent and the Grenadines,0,10,1
Samoa,0,6,1
Sao Tome and Principe,0,0,1
Saudi Arabia,0,14,2
Senegal,2,6,10
Serbia,0,15,4
Serbia Montenegro,0,5,1
Seychelles,0,4,0
Sierra Leone,0,9,2
Sint Maarten (Dutch part),0,1,0
Slovakia,0,11,2
Slovenia,1,5,3
Solomon Islands,0,14,4
Somalia,16,14,13
South Africa,4,27,12
South Sudan,8,2,4
Spain,3,25,2
Sri Lanka,15,7,24
State of Palestine,0,3,0
Sudan,8,4,16
Suriname,0,3,1
Sweden,0,3,0
Switzerland,0,8,3
Syrian Arab Republic,3,3,4
Taiwan (Province of China),2,25,6
Tajikistan,2,32,3
Thailand,26,17,16
Timor-Leste,0,7,2
Togo,0,4,4
Tokelau,0,1,0
Tonga,0,7,2
Trinidad and Tobago,0,3,2
Tunisia,0,5,3
Turkmenistan,0,1,0
Turks and Caicos Islands,0,3,0
Tuvalu,0,4,0
Türkiye,1,29,10
Uganda,6,14,10
Ukraine,0,7,4
United Arab Emirates,0,1,0
United Kingdom of Great Britain and Northern Ireland,3,19,6
United Republic of Tanzania,6,21,11
United States Virgin Islands,0,2,0
United States of America,7,109,36
Uruguay,0,12,5
Uzbekistan,1,3,1
Vanuatu,1,6,4
Venezuela (Bolivarian Republic of),1,17,6
Viet Nam,24,20,29
Wallis and Futuna Islands,0,1,0
Yemen,0,14,13
Zambia,7,9,4
Zimbabwe,6,15,5
