Country,Disaster Type,Not Prepared,Prepared,Somewhat Prepared
Afghanistan,Drought,0.83,0.0,0.17
Afghanistan,Earthquake,0.23,0.54,0.23
Afghanistan,Flood,0.0,0.31,0.69
Albania,Earthquake,0.0,0.5,0.5
Albania,Extreme temperature,0.0,0.5,0.5
Albania,Flood,0.0,0.8,0.2
Algeria,Earthquake,0.2,0.8,0.0
Algeria,Extreme temperature,0.0,1.0,0.0
Algeria,Flood,0.0,0.74,0.26
Algeria,Wildfire,0.0,0.0,1.0
American Samoa,Earthquake,0.0,1.0,0.0
American Samoa,Flood,0.0,1.0,0.0
American Samoa,Storm,0.0,0.5,0.5
Angola,Drought,0.6,0.0,0.4
Angola,Flood,0.04,0.4,0.56
Anguilla,Storm,0.0,1.0,0.0
Antigua and Barbuda,Storm,0.0,0.67,0.33
Argentina,Drought,0.0,0.75,0.25
Argentina,Earthquake,0.0,1.0,0.0
Argentina,Flood,0.0,0.44,0.56
Argentina,Storm,0.0,1.0,0.0
Argentina,Wildfire,0.0,0.5,0.5
Armenia,Drought,0.0,0.0,1.0
Armenia,Flood,0.0,1.0,0.0
Armenia,Storm,0.0,1.0,0.0
Australia,Drought,0.0,1.0,0.0
Australia,Extreme temperature,0.0,0.33,0.67
Australia,Flood,0.0,0.92,0.08
Australia,Storm,0.0,0.8,0.2
Australia,Wildfire,0.0,1.0,0.0
Austria,Extreme temperature,0.0,0.4,0.6
Austria,Flood,0.0,0.86,0.14
Austria,Storm,0.0,1.0,0.0
Azerbaijan,Drought,0.0,1.0,0.0
Azerbaijan,Earthquake,0.0,0.5,0.5
Azerbaijan,Flood,0.0,0.33,0.67
Bahamas,Flood,0.0,1.0,0.0
Bahamas,Storm,0.0,0.91,0.09
Bangladesh,Drought,0.0,1.0,0.0
Bangladesh,Earthquake,0.0,1.0,0.0
Bangladesh,Extreme temperature,0.0,0.5,0.5
Bangladesh,Flood,0.65,0.03,0.32
Bangladesh,Storm,0.35,0.23,0.42
Barbados,Drought,0.0,1.0,0.0
Barbados,Earthquake,0.0,1.0,0.0
Barbados,Storm,0.0,1.0,0.0
Belarus,Flood,0.0,0.5,0.5
Belgium,Extreme temperature,0.25,0.12,0.62
Belgium,Flood,0.12,0.88,0.0
Belgium,Storm,0.0,1.0,0.0
Belize,Flood,0.0,0.5,0.5
Belize,Storm,0.0,0.67,0.33
Benin,Flood,0.1,0.3,0.6
Benin,Wildfire,0.0,1.0,0.0
Bermuda,Storm,0.0,1.0,0.0
Bhutan,Earthquake,0.0,1.0,0.0
Bhutan,Flood,0.0,0.67,0.33
Bhutan,Storm,0.0,1.0,0.0
Bolivia (Plurinational State of),Drought,0.25,0.12,0.62
Bolivia (Plurinational State of),Extreme temperature,0.0,1.0,0.0
Bolivia (Plurinational State of),Flood,0.08,0.29,0.62
Bolivia (Plurinational State of),Wildfire,0.0,1.0,0.0
Bosnia and Herzegovina,Drought,0.0,0.5,0.5
Bosnia and Herzegovina,Earthquake,0.0,1.0,0.0
Bosnia and Herzegovina,Extreme temperature,0.0,1.0,0.0
Bosnia and Herzegovina,Flood,0.08,0.69,0.23
Botswana,Drought,0.0,0.33,0.67
Botswana,Flood,0.0,0.86,0.14
Botswana,Storm,0.0,1.0,0.0
Brazil,Drought,0.42,0.5,0.08
Brazil,Earthquake,0.0,1.0,0.0
Brazil,Extreme temperature,0.0,1.0,0.0
Brazil,Flood,0.21,0.35,0.44
Brazil,Storm,0.0,0.4,0.6
British Virgin Islands,Storm,0.0,1.0,0.0
Bulgaria,Drought,0.0,1.0,0.0
Bulgaria,Earthquake,0.0,1.0,0.0
Bulgaria,Extreme temperature,0.5,0.5,0.0
Bulgaria,Flood,0.0,0.92,0.08
Bulgaria,Storm,0.0,1.0,0.0
Bulgaria,Wildfire,0.0,1.0,0.0
Burkina Faso,Drought,0.8,0.2,0.0
Burkina Faso,Flood,0.0,0.29,0.71
Burundi,Drought,0.2,0.4,0.4
Burundi,Earthquake,0.0,1.0,0.0
Burundi,Flood,0.0,0.64,0.36
Burundi,Storm,0.0,1.0,0.0
Cabo Verde,Drought,0.0,0.0,1.0
Cabo Verde,Flood,0.0,0.5,0.5
Cabo Verde,Storm,0.0,1.0,0.0
Cambodia,Drought,0.75,0.0,0.25
Cambodia,Flood,0.35,0.41,0.24
Cambodia,Storm,0.25,0.5,0.25
Cameroon,Drought,0.33,0.67,0.0
Cameroon,Flood,0.0,0.36,0.64
Canada,Extreme temperature,0.0,0.0,1.0
Canada,Flood,0.0,0.95,0.05
Canada,Storm,0.0,1.0,0.0
Canada,Wildfire,0.0,0.5,0.5
Canary Islands,Extreme temperature,0.0,1.0,0.0
Canary Islands,Flood,0.0,1.0,0.0
Canary Islands,Storm,0.0,1.0,0.0
Cayman Islands,Storm,0.0,1.0,0.0
Central African Republic,Drought,1.0,0.0,0.0
Central African Republic,Flood,0.0,0.54,0.46
Central African Republic,Wildfire,0.0,0.0,1.0
Chad,Drought,1.0,0.0,0.0
Chad,Flood,0.18,0.18,0.64
