Country,Not Prepared,Prepared,Somewhat Prepared
Afghanistan,9,20,22
Albania,0,13,3
Algeria,1,26,4
American Samoa,0,4,0
Angola,3,15,12
Anguilla,0,1,0
Antigua and Barbuda,0,3,0
Argentina,0,30,7
Armenia,0,5,1
Australia,0,46,6
Austria,0,10,3
Azerbaijan,0,5,1
Bahamas,0,11,1
Bangladesh,22,18,30
Barbados,0,8,0
Belarus,0,2,0
Belgium,2,11,6
Belize,0,10,1
Benin,1,8,2
Bermuda,0,1,0
Bhutan,0,6,1
Bolivia (Plurinational State of),1,18,15
Bosnia and Herzegovina,1,14,2
Botswana,0,10,1
Brazil,7,27,19
British Virgin Islands,0,1,0
Bulgaria,2,20,0
Burkina Faso,4,7,8
Burundi,1,24,6
Cabo Verde,0,6,0
Cambodia,6,11,8
Cameroon,1,12,4
Canada,0,32,2
Canary Islands,0,4,0
Cayman Islands,0,4,0
Central African Republic,1,10,4
Chad,5,2,9
Chile,1,22,7
China,68,37,43
"China, Hong Kong Special Administrative Region",0,9,0
"China, Macao Special Administrative Region",0,1,0
Colombia,4,28,13
Comoros,0,4,1
Congo,0,6,5
Cook Islands,0,3,0
Costa Rica,0,20,5
Croatia,0,16,4
Cuba,5,20,5
Cyprus,0,4,2
Czechia,1,10,4
Côte d’Ivoire,0,11,0
Democratic People's Republic of Korea,7,11,12
Democratic Republic of the Congo,2,17,9
Denmark,0,0,2
Djibouti,0,3,7
Dominica,0,4,1
Dominican Republic,2,31,6
Ecuador,0,25,5
Egypt,0,8,1
El Salvador,1,21,7
Eritrea,1,2,0
Estonia,0,0,2
Eswatini,0,4,5
Ethiopia,10,11,12
Fiji,0,18,4
Finland,0,1,2
France,7,39,0
French Guiana,0,1,0
French Polynesia,0,2,0
Gabon,0,2,0
Gambia,0,10,1
Georgia,0,16,3
Germany,3,20,2
Ghana,0,13,5
Greece,2,29,1
Grenada,0,3,0
Guadeloupe,0,4,0
Guam,0,2,1
Guatemala,8,28,7
Guinea,0,13,1
Guinea-Bissau,0,6,0
Guyana,0,6,2
Haiti,6,33,12
Honduras,2,26,12
Hungary,0,13,3
Iceland,0,3,0
India,53,29,36
Indonesia,7,39,40
Iran (Islamic Republic of),4,25,18
Iraq,1,14,2
Ireland,0,5,1
Israel,0,6,0
Italy,3,43,4
Jamaica,0,10,3
Japan,6,53,19
Jordan,0,3,1
Kazakhstan,0,16,0
Kenya,8,17,12
Kiribati,0,3,0
Kuwait,0,1,0
Kyrgyzstan,1,7,2
Lao People's Democratic Republic,0,11,11
Latvia,0,1,2
Lebanon,0,3,0
Lesotho,0,2,7
Liberia,0,5,0
Libya,0,2,0
Liechtenstein,0,1,0
Lithuania,0,4,2
Luxembourg,0,4,1
Madagascar,7,12,19
Malawi,6,18,13
Malaysia,1,28,5
Maldives,0,3,1
Mali,3,19,4
Malta,0,0,2
Marshall Islands,0,6,0
Martinique,0,4,0
Mauritania,2,12,6
Mauritius,0,6,0
Mexico,5,48,15
Micronesia (Federated States of),0,7,1
Mongolia,0,10,2
Montenegro,0,5,0
Morocco,1,17,2
Mozambique,8,16,25
Myanmar,3,14,14
Namibia,0,13,7
Nepal,2,7,22
Netherlands (Kingdom of the),0,2,7
New Caledonia,0,2,0
New Zealand,0,23,2
Nicaragua,0,23,9
Niger,9,9,13
Nigeria,5,17,13
Niue,0,1,0
North Macedonia,0,12,0
Northern Mariana Islands,0,4,0
Norway,0,5,0
Oman,0,9,1
Pakistan,15,29,30
Palau,0,4,0
Panama,0,27,1
Papua New Guinea,1,21,4
Paraguay,1,15,6
Peru,2,32,9
Philippines,29,31,24
Poland,0,13,2
Portugal,3,13,1
Puerto Rico,1,15,0
Qatar,0,1,0
Republic of Korea,0,30,6
Republic of Moldova,0,6,1
Romania,2,33,1
Russian Federation,1,34,9
Rwanda,0,15,6
Réunion,0,7,0
Saint Barthélemy,0,1,0
Saint Kitts and Nevis,0,2,0
Saint Lucia,0,9,1
Saint Martin (French Part),0,1,0
Saint Vincent and the Grenadines,0,11,0
Samoa,0,6,1
Sao Tome and Principe,0,0,1
Saudi Arabia,0,14,2
Senegal,0,9,9
Serbia,0,16,3
Serbia Montenegro,0,6,0
Seychelles,0,4,0
Sierra Leone,0,10,1
Sint Maarten (Dutch part),0,1,0
Slovakia,0,11,2
Slovenia,1,5,3
Solomon Islands,0,16,2
Somalia,9,17,17
South Africa,3,31,9
South Sudan,4,3,7
Spain,3,26,1
Sri Lanka,5,13,28
State of Palestine,0,3,0
Sudan,5,7,16
Suriname,0,4,0
Sweden,0,3,0
Switzerland,1,8,2
Syrian Arab Republic,3,3,4
Taiwan (Province of China),1,26,6
Tajikistan,1,33,3
Thailand,14,22,23
Timor-Leste,0,7,2
Togo,0,6,2
Tokelau,0,1,0
Tonga,0,9,0
Trinidad and Tobago,0,4,1
Tunisia,0,8,0
Turkmenistan,0,1,0
Turks and Caicos Islands,0,3,0
Tuvalu,0,4,0
Türkiye,1,32,7
Uganda,3,20,7
Ukraine,0,9,2
United Arab Emirates,0,1,0
United Kingdom of Great Britain and Northern Ireland,3,20,5
United Republic of Tanzania,5,25,8
United States Virgin Islands,0,2,0
United States of America,5,114,33
Uruguay,0,14,3
Uzbekistan,0,4,1
Vanuatu,0,8,3
Venezuela (Bolivarian Republic of),1,22,1
Viet Nam,13,28,32
Wallis and Futuna Islands,0,1,0
Yemen,0,18,9
Zambia,4,9,7
Zimbabwe,5,16,5
