Country,Not Prepared,Prepared,Somewhat Prepared
Afghanistan,0.18,0.39,0.43
Albania,0.0,0.81,0.19
Algeria,0.03,0.84,0.13
American Samoa,0.0,1.0,0.0
Angola,0.1,0.5,0.4
Anguilla,0.0,1.0,0.0
Antigua and Barbuda,0.0,1.0,0.0
Argentina,0.0,0.81,0.19
Armenia,0.0,0.83,0.17
Australia,0.0,0.88,0.12
Austria,0.0,0.77,0.23
Azerbaijan,0.0,0.83,0.17
Bahamas,0.0,0.92,0.08
Bangladesh,0.31,0.26,0.43
Barbados,0.0,1.0,0.0
Belarus,0.0,1.0,0.0
Belgium,0.11,0.58,0.32
Belize,0.0,0.91,0.09
Benin,0.09,0.73,0.18
Bermuda,0.0,1.0,0.0
Bhutan,0.0,0.86,0.14
Bolivia (Plurinational State of),0.03,0.53,0.44
Bosnia and Herzegovina,0.06,0.82,0.12
Botswana,0.0,0.91,0.09
Brazil,0.13,0.51,0.36
British Virgin Islands,0.0,1.0,0.0
Bulgaria,0.09,0.91,0.0
Burkina Faso,0.21,0.37,0.42
Burundi,0.03,0.77,0.19
Cabo Verde,0.0,1.0,0.0
Cambodia,0.24,0.44,0.32
Cameroon,0.06,0.71,0.24
Canada,0.0,0.94,0.06
Canary Islands,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0
Central African Republic,0.07,0.67,0.27
Chad,0.31,0.12,0.56
Chile,0.03,0.73,0.23
China,0.46,0.25,0.29
"China, Hong Kong Special Administrative Region",0.0,1.0,0.0
"China, Macao Special Administrative Region",0.0,1.0,0.0
Colombia,0.09,0.62,0.29
Comoros,0.0,0.8,0.2
Congo,0.0,0.55,0.45
Cook Islands,0.0,1.0,0.0
Costa Rica,0.0,0.8,0.2
Croatia,0.0,0.8,0.2
Cuba,0.17,0.67,0.17
Cyprus,0.0,0.67,0.33
Czechia,0.07,0.67,0.27
Côte d’Ivoire,0.0,1.0,0.0
Democratic People's Republic of Korea,0.23,0.37,0.4
Democratic Republic of the Congo,0.07,0.61,0.32
Denmark,0.0,0.0,1.0
Djibouti,0.0,0.3,0.7
Dominica,0.0,0.8,0.2
Dominican Republic,0.05,0.79,0.15
Ecuador,0.0,0.83,0.17
Egypt,0.0,0.89,0.11
El Salvador,0.03,0.72,0.24
Eritrea,0.33,0.67,0.0
Estonia,0.0,0.0,1.0
Eswatini,0.0,0.44,0.56
Ethiopia,0.3,0.33,0.36
Fiji,0.0,0.82,0.18
Finland,0.0,0.33,0.67
France,0.15,0.85,0.0
French Guiana,0.0,1.0,0.0
French Polynesia,0.0,1.0,0.0
Gabon,0.0,1.0,0.0
Gambia,0.0,0.91,0.09
Georgia,0.0,0.84,0.16
Germany,0.12,0.8,0.08
Ghana,0.0,0.72,0.28
Greece,0.06,0.91,0.03
Grenada,0.0,1.0,0.0
Guadeloupe,0.0,1.0,0.0
Guam,0.0,0.67,0.33
Guatemala,0.19,0.65,0.16
Guinea,0.0,0.93,0.07
Guinea-Bissau,0.0,1.0,0.0
Guyana,0.0,0.75,0.25
Haiti,0.12,0.65,0.24
Honduras,0.05,0.65,0.3
Hungary,0.0,0.81,0.19
Iceland,0.0,1.0,0.0
India,0.45,0.25,0.31
Indonesia,0.08,0.45,0.47
Iran (Islamic Republic of),0.09,0.53,0.38
Iraq,0.06,0.82,0.12
Ireland,0.0,0.83,0.17
Israel,0.0,1.0,0.0
Italy,0.06,0.86,0.08
Jamaica,0.0,0.77,0.23
Japan,0.08,0.68,0.24
Jordan,0.0,0.75,0.25
Kazakhstan,0.0,1.0,0.0
Kenya,0.22,0.46,0.32
Kiribati,0.0,1.0,0.0
Kuwait,0.0,1.0,0.0
Kyrgyzstan,0.1,0.7,0.2
Lao People's Democratic Republic,0.0,0.5,0.5
Latvia,0.0,0.33,0.67
Lebanon,0.0,1.0,0.0
Lesotho,0.0,0.22,0.78
Liberia,0.0,1.0,0.0
Libya,0.0,1.0,0.0
Liechtenstein,0.0,1.0,0.0
Lithuania,0.0,0.67,0.33
Luxembourg,0.0,0.8,0.2
Madagascar,0.18,0.32,0.5
Malawi,0.16,0.49,0.35
Malaysia,0.03,0.82,0.15
Maldives,0.0,0.75,0.25
Mali,0.12,0.73,0.15
Malta,0.0,0.0,1.0
Marshall Islands,0.0,1.0,0.0
Martinique,0.0,1.0,0.0
Mauritania,0.1,0.6,0.3
Mauritius,0.0,1.0,0.0
Mexico,0.07,0.71,0.22
Micronesia (Federated States of),0.0,0.88,0.12
Mongolia,0.0,0.83,0.17
Montenegro,0.0,1.0,0.0
Morocco,0.05,0.85,0.1
Mozambique,0.16,0.33,0.51
Myanmar,0.1,0.45,0.45
Namibia,0.0,0.65,0.35
Nepal,0.06,0.23,0.71
Netherlands (Kingdom of the),0.0,0.22,0.78
New Caledonia,0.0,1.0,0.0
New Zealand,0.0,0.92,0.08
Nicaragua,0.0,0.72,0.28
Niger,0.29,0.29,0.42
Nigeria,0.14,0.49,0.37
Niue,0.0,1.0,0.0
North Macedonia,0.0,1.0,0.0
Northern Mariana Islands,0.0,1.0,0.0
Norway,0.0,1.0,0.0
Oman,0.0,0.9,0.1
Pakistan,0.2,0.39,0.41
Palau,0.0,1.0,0.0
Panama,0.0,0.96,0.04
Papua New Guinea,0.04,0.81,0.15
Paraguay,0.05,0.68,0.27
Peru,0.05,0.74,0.21
Philippines,0.35,0.37,0.29
Poland,0.0,0.87,0.13
Portugal,0.18,0.76,0.06
Puerto Rico,0.06,0.94,0.0
Qatar,0.0,1.0,0.0
Republic of Korea,0.0,0.83,0.17
Republic of Moldova,0.0,0.86,0.14
Romania,0.06,0.92,0.03
Russian Federation,0.02,0.77,0.2
Rwanda,0.0,0.71,0.29
Réunion,0.0,1.0,0.0
Saint Barthélemy,0.0,1.0,0.0
Saint Kitts and Nevis,0.0,1.0,0.0
Saint Lucia,0.0,0.9,0.1
Saint Martin (French Part),0.0,1.0,0.0
Saint Vincent and the Grenadines,0.0,1.0,0.0
Samoa,0.0,0.86,0.14
Sao Tome and Principe,0.0,0.0,1.0
Saudi Arabia,0.0,0.88,0.12
Senegal,0.0,0.5,0.5
Serbia,0.0,0.84,0.16
Serbia Montenegro,0.0,1.0,0.0
Seychelles,0.0,1.0,0.0
Sierra Leone,0.0,0.91,0.09
Sint Maarten (Dutch part),0.0,1.0,0.0
Slovakia,0.0,0.85,0.15
Slovenia,0.11,0.56,0.33
Solomon Islands,0.0,0.89,0.11
Somalia,0.21,0.4,0.4
South Africa,0.07,0.72,0.21
South Sudan,0.29,0.21,0.5
Spain,0.1,0.87,0.03
Sri Lanka,0.11,0.28,0.61
State of Palestine,0.0,1.0,0.0
Sudan,0.18,0.25,0.57
Suriname,0.0,1.0,0.0
Sweden,0.0,1.0,0.0
Switzerland,0.09,0.73,0.18
Syrian Arab Republic,0.3,0.3,0.4
Taiwan (Province of China),0.03,0.79,0.18
Tajikistan,0.03,0.89,0.08
Thailand,0.24,0.37,0.39
Timor-Leste,0.0,0.78,0.22
Togo,0.0,0.75,0.25
Tokelau,0.0,1.0,0.0
Tonga,0.0,1.0,0.0
Trinidad and Tobago,0.0,0.8,0.2
Tunisia,0.0,1.0,0.0
Turkmenistan,0.0,1.0,0.0
Turks and Caicos Islands,0.0,1.0,0.0
Tuvalu,0.0,1.0,0.0
Türkiye,0.02,0.8,0.18
Uganda,0.1,0.67,0.23
Ukraine,0.0,0.82,0.18
United Arab Emirates,0.0,1.0,0.0
United Kingdom of Great Britain and Northern Ireland,0.11,0.71,0.18
United Republic of Tanzania,0.13,0.66,0.21
United States Virgin Islands,0.0,1.0,0.0
United States of America,0.03,0.75,0.22
Uruguay,0.0,0.82,0.18
Uzbekistan,0.0,0.8,0.2
Vanuatu,0.0,0.73,0.27
Venezuela (Bolivarian Republic of),0.04,0.92,0.04
Viet Nam,0.18,0.38,0.44
Wallis and Futuna Islands,0.0,1.0,0.0
Yemen,0.0,0.67,0.33
Zambia,0.2,0.45,0.35
Zimbabwe,0.19,0.62,0.19
