Subregion,Not Prepared,Prepared,Somewhat Prepared
Australia and New Zealand,0.0,0.9,0.1
Central Asia,0.03,0.88,0.09
Eastern Asia,0.24,0.51,0.25
Eastern Europe,0.03,0.83,0.13
Latin America and the Caribbean,0.06,0.74,0.2
Melanesia,0.01,0.82,0.16
Micronesia,0.0,0.93,0.07
Northern Africa,0.07,0.71,0.23
Northern America,0.03,0.79,0.19
Northern Europe,0.05,0.69,0.26
Polynesia,0.0,0.97,0.03
South-eastern Asia,0.17,0.45,0.38
Southern Asia,0.25,0.33,0.42
Southern Europe,0.06,0.84,0.1
Sub-Saharan Africa,0.12,0.56,0.32
Western Asia,0.03,0.78,0.19
Western Europe,0.1,0.74,0.16
