Subregion,Disaster Type,Disaster Subtype,Rights_Impacted,Event Count
Australia and New Zealand,Flood,Flood (General),"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health",14
Australia and New Zealand,Flood,Riverine flood,"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health",14
Australia and New Zealand,Storm,Tropical cyclone,"Right to Life, Right to Shelter, Right to Aid, Right to Health, Right to Education",13
Australia and New Zealand,Flood,Flash flood,"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health",8
Australia and New Zealand,Storm,Lightning/Thunderstorms,"Right to Life, Right to Health, Right to Shelter",5
Australia and New Zealand,Storm,Tornado,"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health, Right to Education",5
Australia and New Zealand,Drought,Drought,"Right to Food, Right to Water, Right to Health",4
Australia and New Zealand,Extreme temperature,Heat wave,"Right to Life, Right to Health, Right to a Healthy Environment",4
Australia and New Zealand,Earthquake,Ground movement,"Right to Life, Right to Shelter, Right to Aid, Right to Health",3
Australia and New Zealand,Storm,Hail,Right to Health,3
Australia and New Zealand,Wildfire,Wildfire (General),"Right to Life, Right to Shelter, Right to a Healthy Environment, Right to Health",2
Australia and New Zealand,Earthquake,Tsunami,"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health, Right to Education",1
Australia and New Zealand,Flood,Coastal flood,"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health",1
Central Asia,Earthquake,Ground movement,"Right to Life, Right to Shelter, Right to Aid, Right to Health",20
Central Asia,Flood,Riverine flood,"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health",18
Central Asia,Flood,Flood (General),"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health",15
Central Asia,Flood,Flash flood,"Right to Life, Right to Shelter, Right to Water, Right to Aid, Right to Health",9
Central Asia,Drought,Drought,"Right to Food, Right to Water, Right to Health",5
