Country,Num_Disasters,Total_Rights_Impacted,Rights_Per_Disaster,Avg_Preparedness_Score
Gabon,2,11,5.5,2.0
American Samoa,4,21,5.25,2.0
Seychelles,4,21,5.25,2.0
Maldives,4,21,5.25,1.75
Belarus,2,10,5.0,2.0
Belize,11,55,5.0,1.9090909090909092
Bermuda,1,5,5.0,2.0
"China, Hong Kong Special Administrative Region",9,45,5.0,2.0
Cook Islands,3,15,5.0,2.0
French Guiana,1,5,5.0,2.0
Guam,3,15,5.0,1.6666666666666667
Guinea,14,70,5.0,1.9285714285714286
French Polynesia,2,10,5.0,2.0
Ghana,18,90,5.0,1.7222222222222223
Côte d’Ivoire,11,55,5.0,2.0
"China, Macao Special Administrative Region",1,5,5.0,2.0
British Virgin Islands,1,5,5.0,2.0
Congo,11,55,5.0,1.5454545454545454
Cayman Islands,4,20,5.0,2.0
Antigua and Barbuda,3,15,5.0,2.0
Bahamas,12,60,5.0,1.9166666666666667
Anguilla,1,5,5.0,2.0
Mauritius,6,30,5.0,2.0
United States Virgin Islands,2,10,5.0,2.0
Wallis and Futuna Islands,1,5,5.0,2.0
Saint Barthélemy,1,5,5.0,2.0
United Arab Emirates,1,5,5.0,2.0
Qatar,1,5,5.0,2.0
Réunion,7,35,5.0,2.0
Saint Kitts and Nevis,2,10,5.0,2.0
Suriname,4,20,5.0,2.0
State of Palestine,3,15,5.0,2.0
Sint Maarten (Dutch part),1,5,5.0,2.0
Yemen,27,135,5.0,1.6666666666666667
Tokelau,1,5,5.0,2.0
Tunisia,8,40,5.0,2.0
Turks and Caicos Islands,3,15,5.0,2.0
Togo,8,40,5.0,1.75
Kuwait,1,5,5.0,2.0
New Caledonia,2,10,5.0,2.0
Northern Mariana Islands,4,20,5.0,2.0
Libya,2,10,5.0,2.0
Sao Tome and Principe,1,5,5.0,1.0
Saudi Arabia,16,80,5.0,1.875
Saint Martin (French Part),1,5,5.0,2.0
Niue,1,5,5.0,2.0
Kiribati,3,15,5.0,2.0
Liberia,5,25,5.0,2.0
Dominican Republic,39,194,4.97,1.7435897435897436
Puerto Rico,16,79,4.94,1.875
Venezuela (Bolivarian Republic of),24,118,4.92,1.875
New Zealand,25,123,4.92,1.92
Fiji,22,108,4.91,1.8181818181818181
Sierra Leone,11,54,4.91,1.9090909090909092
Vanuatu,11,54,4.91,1.7272727272727273
Benin,11,54,4.91,1.6363636363636365
Solomon Islands,18,88,4.89,1.8888888888888888
Tonga,9,44,4.89,2.0
Malaysia,34,166,4.88,1.7941176470588236
Lao People's Democratic Republic,22,107,4.86,1.5
Samoa,7,34,4.86,1.8571428571428572
Canada,34,165,4.85,1.9411764705882353
Cuba,30,145,4.83,1.5
Chile,30,145,4.83,1.7
Saint Vincent and the Grenadines,11,53,4.82,2.0
Ukraine,11,53,4.82,1.8181818181818181
Mexico,68,327,4.81,1.6323529411764706
Rwanda,21,101,4.81,1.7142857142857142
Dominica,5,24,4.8,1.8
Haiti,51,245,4.8,1.5294117647058822
Oman,10,48,4.8,1.9
Morocco,20,96,4.8,1.8
Central African Republic,15,72,4.8,1.6
Philippines,84,403,4.8,1.0238095238095237
Comoros,5,24,4.8,1.8
Democratic Republic of the Congo,28,134,4.79,1.5357142857142858
Taiwan (Province of China),33,158,4.79,1.7575757575757576
Bangladesh,70,335,4.79,0.9428571428571428
Colombia,45,215,4.78,1.5333333333333334
Viet Nam,73,348,4.77,1.2054794520547945
Myanmar,31,148,4.77,1.3548387096774193
Sri Lanka,46,219,4.76,1.173913043478261
Guyana,8,38,4.75,1.75
Kazakhstan,16,76,4.75,2.0
Martinique,4,19,4.75,2.0
Guadeloupe,4,19,4.75,2.0
Nepal,31,147,4.74,1.1612903225806452
Indonesia,86,407,4.73,1.372093023255814
Democratic People's Republic of Korea,30,142,4.73,1.1333333333333333
Republic of Korea,36,170,4.72,1.8333333333333333
Nicaragua,32,151,4.72,1.71875
Algeria,31,146,4.71,1.8064516129032258
Nigeria,35,165,4.71,1.3428571428571427
Panama,28,132,4.71,1.9642857142857142
Ecuador,30,141,4.7,1.8333333333333333
Zambia,20,94,4.7,1.25
Saint Lucia,10,47,4.7,1.9
Jamaica,13,61,4.69,1.7692307692307692
Costa Rica,25,117,4.68,1.8
Georgia,19,89,4.68,1.8421052631578947
Angola,30,140,4.67,1.4
Cameroon,17,79,4.65,1.6470588235294117
Uruguay,17,79,4.65,1.8235294117647058
Serbia,19,88,4.63,1.8421052631578947
Papua New Guinea,26,120,4.62,1.7692307692307692
Barbados,8,37,4.62,2.0
Cambodia,25,115,4.6,1.2
Guatemala,43,198,4.6,1.4651162790697674
Trinidad and Tobago,5,23,4.6,1.8
Malawi,37,170,4.59,1.3243243243243243
Bosnia and Herzegovina,17,78,4.59,1.7647058823529411
Kenya,37,170,4.59,1.2432432432432432
Madagascar,38,174,4.58,1.131578947368421
North Macedonia,12,55,4.58,2.0
Peru,43,197,4.58,1.697674418604651
Mongolia,12,55,4.58,1.8333333333333333
Uganda,30,137,4.57,1.5666666666666667
Tajikistan,37,169,4.57,1.864864864864865
Russian Federation,44,201,4.57,1.75
Sudan,28,128,4.57,1.0714285714285714
Bhutan,7,32,4.57,1.8571428571428572
Somalia,43,196,4.56,1.186046511627907
Senegal,18,82,4.56,1.5
Türkiye,40,182,4.55,1.775
El Salvador,29,132,4.55,1.6896551724137931
France,46,209,4.54,1.6956521739130435
Poland,15,68,4.53,1.8666666666666667
United Republic of Tanzania,38,172,4.53,1.5263157894736843
Afghanistan,51,230,4.51,1.2156862745098038
Argentina,37,167,4.51,1.8108108108108107
Thailand,59,266,4.51,1.1355932203389831
Micronesia (Federated States of),8,36,4.5,1.875
Canary Islands,4,18,4.5,2.0
Greece,32,144,4.5,1.84375
Serbia Montenegro,6,27,4.5,2.0
Namibia,20,90,4.5,1.65
South Sudan,14,63,4.5,0.9285714285714286
Palau,4,18,4.5,2.0
Niger,31,139,4.48,1.0
Honduras,40,179,4.47,1.6
Iraq,17,76,4.47,1.7647058823529411
Mozambique,49,219,4.47,1.163265306122449
Burkina Faso,19,85,4.47,1.1578947368421053
Czechia,15,67,4.47,1.6
Pakistan,74,330,4.46,1.1891891891891893
Mali,26,116,4.46,1.6153846153846154
Burundi,31,138,4.45,1.7419354838709677
Ethiopia,33,147,4.45,1.0303030303030303
Gambia,11,49,4.45,1.9090909090909092
Bolivia (Plurinational State of),34,151,4.44,1.5
Japan,78,346,4.44,1.6025641025641026
Romania,36,160,4.44,1.8611111111111112
Timor-Leste,9,40,4.44,1.7777777777777777
Brazil,53,235,4.43,1.3773584905660377
Iran (Islamic Republic of),47,208,4.43,1.446808510638298
Uzbekistan,5,22,4.4,1.8
South Africa,43,189,4.4,1.6511627906976745
Mauritania,20,88,4.4,1.5
United Kingdom of Great Britain and Northern Ireland,28,123,4.39,1.6071428571428572
Albania,16,70,4.38,1.8125
Zimbabwe,26,114,4.38,1.4230769230769231
United States of America,152,666,4.38,1.7171052631578947
Slovakia,13,57,4.38,1.8461538461538463
Chad,16,70,4.38,0.8125
Spain,30,131,4.37,1.7666666666666666
Croatia,20,87,4.35,1.8
Australia,52,225,4.33,1.8846153846153846
Eritrea,3,13,4.33,1.3333333333333333
Grenada,3,13,4.33,2.0
Azerbaijan,6,26,4.33,1.8333333333333333
Ireland,6,26,4.33,1.8333333333333333
Guinea-Bissau,6,26,4.33,2.0
India,118,501,4.25,0.7966101694915254
Egypt,9,38,4.22,1.8888888888888888
Slovenia,9,38,4.22,1.4444444444444444
China,148,623,4.21,0.7905405405405406
Montenegro,5,21,4.2,2.0
Hungary,16,67,4.19,1.8125
Italy,50,209,4.18,1.8
Bulgaria,22,92,4.18,1.8181818181818181
Republic of Moldova,7,29,4.14,1.8571428571428572
Kyrgyzstan,10,41,4.1,1.6
Botswana,11,45,4.09,1.9090909090909092
Austria,13,53,4.08,1.7692307692307692
Marshall Islands,6,24,4.0,2.0
Turkmenistan,1,4,4.0,2.0
Tuvalu,4,16,4.0,2.0
Israel,6,24,4.0,2.0
Jordan,4,16,4.0,1.75
Luxembourg,5,20,4.0,1.8
Cabo Verde,6,24,4.0,2.0
Portugal,17,67,3.94,1.588235294117647
Paraguay,22,86,3.91,1.6363636363636365
Belgium,19,73,3.84,1.4736842105263157
Djibouti,10,38,3.8,1.3
Syrian Arab Republic,10,38,3.8,1.0
Norway,5,19,3.8,2.0
Switzerland,11,41,3.73,1.6363636363636365
Lebanon,3,11,3.67,2.0
Lithuania,6,22,3.67,1.6666666666666667
Latvia,3,11,3.67,1.3333333333333333
Sweden,3,11,3.67,2.0
Eswatini,9,33,3.67,1.4444444444444444
Finland,3,11,3.67,1.3333333333333333
Iceland,3,11,3.67,2.0
Germany,25,90,3.6,1.68
Lesotho,9,32,3.56,1.2222222222222223
Cyprus,6,21,3.5,1.6666666666666667
Netherlands (Kingdom of the),9,29,3.22,1.2222222222222223
Denmark,2,6,3.0,1.0
Liechtenstein,1,3,3.0,2.0
Estonia,2,6,3.0,1.0
Malta,2,6,3.0,1.0
Armenia,6,12,2.0,1.8333333333333333
