Subregion,Not Prepared,Prepared,Somewhat Prepared
Australia and New Zealand,0.0,67.0,10.0
Central Asia,4.0,53.0,12.0
Eastern Asia,100.0,144.0,103.0
Eastern Europe,7.0,134.0,40.0
Latin America and the Caribbean,76.0,489.0,289.0
Melanesia,4.0,51.0,24.0
Micronesia,0.0,23.0,5.0
Northern Africa,10.0,60.0,32.0
Northern America,7.0,140.0,40.0
Northern Europe,3.0,41.0,17.0
Polynesia,0.0,28.0,4.0
South-eastern Asia,127.0,135.0,161.0
Southern Asia,137.0,125.0,186.0
Southern Europe,14.0,183.0,38.0
Sub-Saharan Africa,177.0,370.0,367.0
Western Asia,6.0,125.0,45.0
Western Europe,13.0,93.0,23.0
